rank,site_id,file,line,function,c_symbol,malloc_count,malloc_bytes,free_count,free_bytes
1,18a9fe4558,sqlite3.go,2206,finalizeCachedStmt,CString,63070,2395022,63070,0
2,da24077fea,sqlite3.go,2651,stmtArgs,malloc,60383,2416520,0,0
3,65c8963533,callback.go,193,newHandle,malloc,51531,51531,0,0
4,2367198b76,sqlite3.go,826,Version,CString,51523,762457,51523,0
5,765d6f349a,sqlite3.go,1699,lastError,CString,10305,781454,10305,0
6,625f108886,sqlite3.go,1105,lastError,CString,1197,17530,1197,0
7,d0ebf15a5a,backup.go,32,<package>,CString,3,15,3,0
8,d750070a4c,backup.go,44,<package>,CString,3,15,3,0
9,fa367617cf,sqlite3.go,1713,lastError,CString,3,22,3,0
10,12a8775603,sqlite3.go,659,Version,CString,2,19,2,0
11,d0bf12eb7a,sqlite3.go,969,sqlite3CreateFunction,CString,2,15,2,0
12,fcd50a0269,sqlite3_load_extension.go,114,<package>,CString,2,14,2,0
13,43e9bb6ebc,sqlite3_load_extension.go,129,<package>,CString,1,1,1,0
14,65b6910b1b,sqlite3.go,2336,finalizeCachedStmt,CString,1,5,1,0
15,6af4cd2ade,sqlite3_opt_serialize.go,34,<package>,CString,1,5,1,0
16,922428fab5,sqlite3_opt_serialize.go,80,<package>,CString,1,5,1,0
17,d753b7d599,callback.go,528,callbackRetText,CString,1,8,0,0
18,000169ff41,sqlite3.go,2977,isInterruptErr,GoBytes,0,0,0,0
19,00293fa82a,sqlite3_type.go,37,<package>,GoString,0,0,0,0
20,01e1c8dc50,sqlite3.go,2090,lastError,sqlite3_close_v2,0,0,0,0
21,02d89bc315,callback.go,532,callbackRetText,_sqlite3_result_text,0,0,0,0
22,04bfce04d0,sqlite3.go,2310,finalizeCachedStmt,_sqlite3_limit,0,0,0,0
23,06a24be397,sqlite3_opt_preupdate_hook.go,128,<package>,GoBytes,0,0,0,0
24,072afb9de7,sqlite3.go,2499,bindValue,_sqlite3_bind_blob,0,0,0,0
25,08d4a0ce94,callback.go,372,callbackArgGeneric,sqlite3_value_type,0,0,0,0
26,08f4e93f18,,,,,0,0,0,0
