rank,site_id,file,line,function,c_symbol,conversion_count,conversion_bytes,inbound_conversion_count,inbound_conversion_bytes,outbound_conversion_count,outbound_conversion_bytes
1,18a9fe4558,sqlite3.go,2206,finalizeCachedStmt,CString,63070,2395022,0,0,63070,2395022
2,1fb70eb066,sqlite3.go,2830,isInterruptErr,GoString,60402,0,60402,0,0,0
3,3db7b9fed5,sqlite3.go,2850,isInterruptErr,GoString,60400,0,60400,0,0,0
4,2367198b76,sqlite3.go,826,Version,CString,51523,762457,0,0,51523,762457
5,1425daf1e7,sqlite3.go,2990,isInterruptErr,GoStringN,30431,65880,30431,65880,0,0
6,765d6f349a,sqlite3.go,1699,lastError,CString,10305,781454,0,0,10305,781454
7,625f108886,sqlite3.go,1105,lastError,CString,1197,17530,0,0,1197,17530
8,5f730d4034,sqlite3.go,1031,lastError,GoString,41,0,41,0,0,0
9,935274f538,,,,,32,128,32,128,0,0
10,e1872f8f7c,callback.go,86,compareTrampoline,GoStringN,32,128,32,128,0,0
11,1b32fe3ef7,callback.go,150,authorizerTrampoline,GoString,18,0,18,0,0,0
12,a255d68df5,,,,,18,0,18,0,0,0
13,bcf85c7418,callback.go,154,authorizerTrampoline,GoString,18,0,18,0,0,0
14,c2e7362245,callback.go,362,callbackArgString,GoStringN,8,47,8,47,0,0
15,48388421f8,sqlite3.go,2229,finalizeCachedStmt,GoString,7,0,7,0,0,0
16,000169ff41,sqlite3.go,2977,isInterruptErr,GoBytes,4,56,4,56,0,0
17,4e5af08929,callback.go,126,updateHookTrampoline,GoString,4,0,4,0,0,0
18,ed1801fef5,callback.go,130,updateHookTrampoline,GoString,4,0,4,0,0,0
19,57fabcd2a1,sqlite3.go,1116,lastError,GoString,3,0,3,0,0,0
20,59e3817652,sqlite3.go,364,Version,GoString,3,0,3,0,0,0
21,d0ebf15a5a,backup.go,32,<package>,CString,3,15,0,0,3,15
22,d750070a4c,backup.go,44,<package>,CString,3,15,0,0,3,15
23,f4d3e8216f,sqlite3.go,349,Version,GoString,3,0,3,0,0,0
24,fa367617cf,sqlite3.go,1713,lastError,CString,3,22,0,0,3,22
25,12a8775603,sqlite3.go,659,Version,CString,2,19,0,0,2,19
26,8ba0674b69,sqlite3_load_extension.go,154,<package>,GoString,2,0,2,0,0,0
27,d0bf12eb7a,sqlite3.go,969,sqlite3CreateFunction,CString,2,15,0,0,2,15
28,f89bc52e0f,,,,,2,0,2,0,0,0
29,fcd50a0269,sqlite3_load_extension.go,114,<package>,CString,2,14,0,0,2,14
30,43e9bb6ebc,sqlite3_load_extension.go,129,<package>,CString,1,1,0,0,1,1
31,65b6910b1b,sqlite3.go,2336,finalizeCachedStmt,CString,1,5,0,0,1,5
32,6af4cd2ade,sqlite3_opt_serialize.go,34,<package>,CString,1,5,0,0,1,5
33,922428fab5,sqlite3_opt_serialize.go,80,<package>,CString,1,5,0,0,1,5
34,d753b7d599,callback.go,528,callbackRetText,CString,1,8,0,0,1,8
35,00293fa82a,sqlite3_type.go,37,<package>,GoString,0,0,0,0,0,0
36,01e1c8dc50,sqlite3.go,2090,lastError,sqlite3_close_v2,0,0,0,0,0,0
37,02d89bc315,callback.go,532,callbackRetText,_sqlite3_result_text,0,0,0,0,0,0
