rank,site_id,file,line,function,c_symbol,pointer_check_count,pointer_check_ns,call_count,total_cgo_ns
1,fd8e87bea7,sqlite3.go,2219,finalizeCachedStmt,_sqlite3_prepare_v2_internal,63070,3153500,63070,83766715
2,da24077fea,sqlite3.go,2651,stmtArgs,malloc,60383,3019150,60383,5993564
3,1425daf1e7,sqlite3.go,2990,isInterruptErr,GoStringN,30431,1521550,30431,21236233
4,9931e9a822,sqlite3.go,1725,lastError,_sqlite3_open_v2,10305,515250,10305,286346127
5,3995321bec,sqlite3.go,2745,isInterruptErr,_sqlite3_step_row_internal,2851,142550,2851,838565502
6,ed242be7f6,sqlite3.go,1110,lastError,_sqlite3_exec_no_args,1197,59850,1197,21313899
7,305f1e47bd,sqlite3.go,2514,bindValue,_sqlite3_bind_text,31,1550,31,3872
8,072afb9de7,sqlite3.go,2499,bindValue,_sqlite3_bind_blob,7,350,7,1750
9,420020a4a1,sqlite3_load_extension.go,148,<package>,sqlite3_load_extension,2,100,2,193042
10,a1b5fab348,sqlite3.go,2349,finalizeCachedStmt,sqlite3_file_control,1,50,1,291
11,be97803eec,sqlite3_opt_serialize.go,47,<package>,sqlite3_serialize,1,50,1,8417
12,000169ff41,sqlite3.go,2977,isInterruptErr,GoBytes,0,0,4,416
13,00293fa82a,sqlite3_type.go,37,<package>,GoString,0,0,0,0
14,01e1c8dc50,sqlite3.go,2090,lastError,sqlite3_close_v2,0,0,10287,53823311
15,02d89bc315,callback.go,532,callbackRetText,_sqlite3_result_text,0,0,1,125
16,04bfce04d0,sqlite3.go,2310,finalizeCachedStmt,_sqlite3_limit,0,0,0,0
17,06a24be397,sqlite3_opt_preupdate_hook.go,128,<package>,GoBytes,0,0,0,0
18,08d4a0ce94,callback.go,372,callbackArgGeneric,sqlite3_value_type,0,0,14,332
19,08f4e93f18,,,,,0,0,0,0
20,0d9c547925,sqlite3_context.go,63,<package>,my_result_blob,0,0,0,0
21,0fff59e08a,sqlite3.go,2451,bindText,_sqlite3_bind_text,0,0,11586,790711
22,12a8775603,sqlite3.go,659,Version,CString,0,0,2,167
23,13f44204c8,sqlite3_trace.go,86,fillDBError,sqlite3_errcode,0,0,0,0
24,142de87e1e,sqlite3_load_extension.go,62,<package>,GoString,0,0,0,0
25,15e1aa53f5,sqlite3_opt_serialize.go,86,<package>,free,0,0,1,83
26,186fbe0ead,sqlite3_type.go,52,<package>,sqlite3_column_decltype,0,0,0,0
27,18a9fe4558,sqlite3.go,2206,finalizeCachedStmt,CString,0,0,63070,6654026
28,1b32fe3ef7,callback.go,150,authorizerTrampoline,GoString,0,0,18,626
29,1b5f0c2b16,sqlite3_trace.go,124,fillExpandedSQL,GoString,0,0,0,0
30,1bfacbce85,sqlite3_load_extension.go,27,<package>,sqlite3_enable_load_extension,0,0,1,208
31,1c183c5fcc,sqlite3_opt_vtable.go,515,goVBestIndex,sqlite3_malloc,0,0,0,0
32,1cdcdf66d4,,,,,0,0,0,0
33,1fb70eb066,sqlite3.go,2830,isInterruptErr,GoString,0,0,60402,15600137
34,2082443546,,,,,0,0,0,0
35,212c04db36,sqlite3.go,2580,stmtArgs,_sqlite3_reset_clear,0,0,63234,5933879
36,22312848ed,sqlite3.go,2751,isInterruptErr,_sqlite3_reset_clear,0,0,4,1042
