rank,site_id,file,line,function,c_symbol,call_count,total_cgo_ns,avg_cgo_ns,total_boundary_ns,boundary_ratio,scheduler_block_ns
1,3995321bec,sqlite3.go,2745,isInterruptErr,_sqlite3_step_row_internal,2851,838565502,294130.30585759383,0,0.0,458156335
2,7f9abaef1c,sqlite3.go,2912,isInterruptErr,_sqlite3_step_internal,90518,417721435,4614.7886055812105,0,0.0,32692167
3,9931e9a822,sqlite3.go,1725,lastError,_sqlite3_open_v2,10305,286346127,27787.10596797671,0,0.0,0
4,fd8e87bea7,sqlite3.go,2219,finalizeCachedStmt,_sqlite3_prepare_v2_internal,63070,83766715,1328.1546694149358,0,0.0,0
5,01e1c8dc50,sqlite3.go,2090,lastError,sqlite3_close_v2,10287,53823311,5232.167881792554,0,0.0,0
6,a588f9646e,sqlite3.go,2423,finalizeCachedStmt,sqlite3_finalize,63053,27771389,440.44516517850064,0,0.0,0
7,ed242be7f6,sqlite3.go,1110,lastError,_sqlite3_exec_no_args,1197,21313899,17806.0977443609,0,0.0,0
8,1425daf1e7,sqlite3.go,2990,isInterruptErr,GoStringN,30431,21236233,697.848674049489,0,0.0,5651708
9,3db7b9fed5,sqlite3.go,2850,isInterruptErr,GoString,60400,20391152,337.60185430463576,0,0.0,4660791
10,1fb70eb066,sqlite3.go,2830,isInterruptErr,GoString,60402,15600137,258.2718618588788,0,0.0,3325834
11,3d98770d67,sqlite3.go,848,sqlite3CreateFunction,_sqlite3_create_function,51525,9442470,183.25997088791848,0,0.0,0
12,b0d22a4c6f,sqlite3.go,2934,isInterruptErr,_sqlite3_column_values,60498,7111465,117.54876194254355,0,0.0,0
13,778b508ad6,sqlite3.go,2790,isInterruptErr,free,60374,6890927,114.13732732633252,0,0.0,0
14,d59d77ce6f,sqlite3.go,2212,finalizeCachedStmt,free,63070,6825311,108.21802758839385,0,0.0,0
15,18a9fe4558,sqlite3.go,2206,finalizeCachedStmt,CString,63070,6654026,105.50223561122563,0,0.0,0
16,da24077fea,sqlite3.go,2651,stmtArgs,malloc,60383,5993564,99.25912922511303,0,0.0,0
17,212c04db36,sqlite3.go,2580,stmtArgs,_sqlite3_reset_clear,63234,5933879,93.84000695828193,0,0.0,0
18,7c53d39812,sqlite3.go,2843,isInterruptErr,sqlite3_column_decltype,60400,5863263,97.07389072847683,0,0.0,0
19,25cc82ac3b,sqlite3.go,2826,isInterruptErr,sqlite3_column_name,60402,5330031,88.24262441641005,0,0.0,0
20,f600541940,sqlite3.go,832,Version,free,51523,4129097,80.14084971760185,0,0.0,0
21,2367198b76,sqlite3.go,826,Version,CString,51523,3609904,70.06393261261961,0,0.0,0
22,8b3d601ccd,sqlite3.go,2435,finalizeCachedStmt,sqlite3_bind_parameter_count,63234,3499443,55.341161400512384,0,0.0,0
23,4824e3bc4e,callback.go,224,deleteHandles,free,51456,3494652,67.91534514925372,0,0.0,0
