rank,site_id,file,line,function,c_symbol,conversion_count,conversion_bytes,inbound_conversion_count,inbound_conversion_bytes,outbound_conversion_count,outbound_conversion_bytes
1,33032ebc66,errors.go,19,,,2,0,2,0,0,0
2,03a0840d77,zstd_stream.go,445,NewReaderDict,ZSTD_DCtx_reset,0,0,0,0,0,0
3,0eebe47a29,zstd_ctx.go,81,NewCtx,ZSTD_compressCCtx,0,0,0,0,0,0
4,143d533cc1,zstd_stream.go,126,NewWriterLevelDict,ZSTD_createCStream,0,0,0,0,0,0
5,193a303c34,zstd_stream.go,335,finalizeWriter,ZSTD_freeCStream,0,0,0,0,0,0
6,19e7b8563f,zstd_stream.go,498,finalizeReader,ZSTD_freeDStream,0,0,0,0,0,0
7,1e0d98d4c8,zstd.go,190,DecompressInto,ZSTD_decompress,0,0,0,0,0,0
8,2754ca2a4e,zstd_ctx.go,55,NewCtx,ZSTD_createCCtx,0,0,0,0,0,0
9,28ac715d93,zstd_stream.go,192,finalizeWriter,ZSTD_compressStream2_wrapper,0,0,0,0,0,0
10,2d74b22f1d,zstd_stream.go,144,NewWriterLevelDict,ZSTD_CCtx_setParameter,0,0,0,0,0,0
11,2f168891b7,zstd_bulk.go,155,NewBulkProcessor,ZSTD_decompress_usingDDict,0,0,0,0,0,0
12,32ae2df2c7,zstd_bulk.go,42,NewBulkProcessor,ZSTD_createCDict,0,0,0,0,0,0
13,341ab35b5a,zstd_stream.go,453,NewReaderDict,ZSTD_DCtx_loadDictionary,0,0,0,0,0,0
14,3bfca73bca,zstd.go,132,CompressLevel,ZSTD_compress,0,0,0,0,0,0
15,47a5b5ad9e,zstd.go,77,decompressSizeHint,ZSTD_getFrameContentSize,0,0,0,0,0,0
16,4b06c53a01,errors.go,30,cIsError,ZSTD_isError,0,0,0,0,0,0
17,4eda8a8dc7,zstd_ctx.go,143,NewCtx,ZSTD_decompressDCtx,0,0,0,0,0,0
18,4f703eb30e,zstd_stream.go,132,NewWriterLevelDict,ZSTD_CCtx_loadDictionary,0,0,0,0,0,0
19,50ad5844c4,zstd_bulk.go,55,NewBulkProcessor,ZSTD_createDDict,0,0,0,0,0,0
20,59a24747b6,zstd_stream.go,290,finalizeWriter,ZSTD_freeCStream,0,0,0,0,0,0
21,5c404ee783,zstd_stream.go,321,finalizeWriter,ZSTD_freeCStream,0,0,0,0,0,0
22,66ef532682,zstd_ctx.go,160,finalizeCtx,ZSTD_freeDCtx,0,0,0,0,0,0
23,7642f5965c,zstd_bulk.go,80,,,0,0,0,0,0,0
24,780103341b,zstd.go,120,CompressLevel,ZSTD_compress,0,0,0,0,0,0
25,8b78ed2292,zstd_stream.go,594,finalizeReader,ZSTD_decompressStream_wrapper,0,0,0,0,0,0
26,95a5b67edd,zstd_stream.go,514,finalizeReader,ZSTD_freeDStream,0,0,0,0,0,0
27,9ae608449d,zstd_ctx.go,94,NewCtx,ZSTD_compressCCtx,0,0,0,0,0,0
28,a108991e46,zstd_stream.go,435,NewReaderDict,ZSTD_createDStream,0,0,0,0,0,0
29,a1ff806bd6,errors.go,16,<package>,ZSTD_getErrorName,0,0,0,0,0,0
30,a70c41d2ab,zstd_stream.go,248,finalizeWriter,ZSTD_compressStream2_flush,0,0,0,0,0,0
31,aa3120c1d6,zstd_bulk.go,120,NewBulkProcessor,ZSTD_freeCCtx,0,0,0,0,0,0
32,ac7e1a4460,zstd_ctx.go,56,NewCtx,ZSTD_createDCtx,0,0,0,0,0,0
33,ad1223112c,zstd.go,58,cCompressBound,ZSTD_compressBound,0,0,0,0,0,0
34,b0dd6689ea,zstd_bulk.go,166,NewBulkProcessor,ZSTD_freeDCtx,0,0,0,0,0,0
35,b6f10c40af,zstd_bulk.go,107,NewBulkProcessor,ZSTD_compress_usingCDict,0,0,0,0,0,0
36,c25198149a,zstd_stream.go,122,,,0,0,0,0,0,0
37,c2db3a41ca,zstd_stream.go,300,finalizeWriter,ZSTD_compressStream2_finish,0,0,0,0,0,0
38,cf22c1d399,zstd_bulk.go,182,finalizeBulkProcessor,ZSTD_freeCDict,0,0,0,0,0,0
39,cf69623622,zstd_stream.go,440,NewReaderDict,ZSTD_initDStream,0,0,0,0,0,0
40,d64ed87637,zstd_ctx.go,157,finalizeCtx,ZSTD_freeCCtx,0,0,0,0,0,0
41,da50a33d01,zstd_bulk.go,93,NewBulkProcessor,ZSTD_compress_usingCDict,0,0,0,0,0,0
42,e7596ec17b,zstd_bulk.go,150,NewBulkProcessor,ZSTD_createDCtx,0,0,0,0,0,0
43,ee1dacb979,zstd_stream.go,312,finalizeWriter,ZSTD_freeCStream,0,0,0,0,0,0
44,f6e5f2fa46,zstd_bulk.go,187,finalizeBulkProcessor,ZSTD_freeDDict,0,0,0,0,0,0
