rank,site_id,file,line,function,c_symbol,pointer_check_count,pointer_check_ns,call_count,total_cgo_ns
1,8b78ed2292,zstd_stream.go,594,finalizeReader,ZSTD_decompressStream_wrapper,104,5200,104,523835
2,28ac715d93,zstd_stream.go,192,finalizeWriter,ZSTD_compressStream2_wrapper,44,2200,44,1836418
3,47a5b5ad9e,zstd.go,77,decompressSizeHint,ZSTD_getFrameContentSize,35,1750,35,7710
4,3bfca73bca,zstd.go,132,CompressLevel,ZSTD_compress,15,750,15,1566999
5,1e0d98d4c8,zstd.go,190,DecompressInto,ZSTD_decompress,13,650,13,363041
6,9ae608449d,zstd_ctx.go,94,NewCtx,ZSTD_compressCCtx,13,650,13,1964789
7,b6f10c40af,zstd_bulk.go,107,NewBulkProcessor,ZSTD_compress_usingCDict,12,600,12,47751
8,2f168891b7,zstd_bulk.go,155,NewBulkProcessor,ZSTD_decompress_usingDDict,11,550,11,29333
9,4eda8a8dc7,zstd_ctx.go,143,NewCtx,ZSTD_decompressDCtx,11,550,11,722626
10,c2db3a41ca,zstd_stream.go,300,finalizeWriter,ZSTD_compressStream2_finish,8,400,8,37333
11,32ae2df2c7,zstd_bulk.go,42,NewBulkProcessor,ZSTD_createCDict,5,250,5,139250
12,50ad5844c4,zstd_bulk.go,55,NewBulkProcessor,ZSTD_createDDict,5,250,5,78167
13,03a0840d77,zstd_stream.go,445,NewReaderDict,ZSTD_DCtx_reset,0,0,0,0
14,0eebe47a29,zstd_ctx.go,81,NewCtx,ZSTD_compressCCtx,0,0,0,0
15,143d533cc1,zstd_stream.go,126,NewWriterLevelDict,ZSTD_createCStream,0,0,0,0
16,193a303c34,zstd_stream.go,335,finalizeWriter,ZSTD_freeCStream,0,0,8,4332
17,19e7b8563f,zstd_stream.go,498,finalizeReader,ZSTD_freeDStream,0,0,0,0
18,2754ca2a4e,zstd_ctx.go,55,NewCtx,ZSTD_createCCtx,0,0,0,0
19,2d74b22f1d,zstd_stream.go,144,NewWriterLevelDict,ZSTD_CCtx_setParameter,0,0,8,1416
20,33032ebc66,errors.go,19,,,0,0,2,791
21,341ab35b5a,zstd_stream.go,453,NewReaderDict,ZSTD_DCtx_loadDictionary,0,0,0,0
22,4b06c53a01,errors.go,30,cIsError,ZSTD_isError,0,0,2,417
23,4f703eb30e,zstd_stream.go,132,NewWriterLevelDict,ZSTD_CCtx_loadDictionary,0,0,0,0
24,59a24747b6,zstd_stream.go,290,finalizeWriter,ZSTD_freeCStream,0,0,0,0
25,5c404ee783,zstd_stream.go,321,finalizeWriter,ZSTD_freeCStream,0,0,0,0
26,66ef532682,zstd_ctx.go,160,finalizeCtx,ZSTD_freeDCtx,0,0,4,2666
27,7642f5965c,zstd_bulk.go,80,,,0,0,12,18168
28,780103341b,zstd.go,120,CompressLevel,ZSTD_compress,0,0,0,0
29,95a5b67edd,zstd_stream.go,514,finalizeReader,ZSTD_freeDStream,0,0,13,3789
30,a108991e46,zstd_stream.go,435,NewReaderDict,ZSTD_createDStream,0,0,13,3584
31,a1ff806bd6,errors.go,16,<package>,ZSTD_getErrorName,0,0,2,293
32,a70c41d2ab,zstd_stream.go,248,finalizeWriter,ZSTD_compressStream2_flush,0,0,0,0
33,aa3120c1d6,zstd_bulk.go,120,NewBulkProcessor,ZSTD_freeCCtx,0,0,12,3500
34,ac7e1a4460,zstd_ctx.go,56,NewCtx,ZSTD_createDCtx,0,0,0,0
35,ad1223112c,zstd.go,58,cCompressBound,ZSTD_compressBound,0,0,0,0
36,b0dd6689ea,zstd_bulk.go,166,NewBulkProcessor,ZSTD_freeDCtx,0,0,11,3584
37,c25198149a,zstd_stream.go,122,,,0,0,8,20290
38,cf22c1d399,zstd_bulk.go,182,finalizeBulkProcessor,ZSTD_freeCDict,0,0,5,6209
39,cf69623622,zstd_stream.go,440,NewReaderDict,ZSTD_initDStream,0,0,13,959
40,d64ed87637,zstd_ctx.go,157,finalizeCtx,ZSTD_freeCCtx,0,0,4,9750
41,da50a33d01,zstd_bulk.go,93,NewBulkProcessor,ZSTD_compress_usingCDict,0,0,0,0
42,e7596ec17b,zstd_bulk.go,150,NewBulkProcessor,ZSTD_createDCtx,0,0,11,22250
43,ee1dacb979,zstd_stream.go,312,finalizeWriter,ZSTD_freeCStream,0,0,0,0
44,f6e5f2fa46,zstd_bulk.go,187,finalizeBulkProcessor,ZSTD_freeDDict,0,0,5,6001
