rank,site_id,file,line,function,c_symbol,call_count,total_cgo_ns,avg_cgo_ns,total_boundary_ns,boundary_ratio,scheduler_block_ns
1,9ae608449d,zstd_ctx.go,94,NewCtx,ZSTD_compressCCtx,13,1964789,151137.61538461538,0,0.0,0
2,28ac715d93,zstd_stream.go,192,finalizeWriter,ZSTD_compressStream2_wrapper,44,1836418,41736.77272727273,0,0.0,0
3,3bfca73bca,zstd.go,132,CompressLevel,ZSTD_compress,15,1566999,104466.6,0,0.0,0
4,4eda8a8dc7,zstd_ctx.go,143,NewCtx,ZSTD_decompressDCtx,11,722626,65693.27272727272,0,0.0,0
5,8b78ed2292,zstd_stream.go,594,finalizeReader,ZSTD_decompressStream_wrapper,104,523835,5036.875,0,0.0,0
6,1e0d98d4c8,zstd.go,190,DecompressInto,ZSTD_decompress,13,363041,27926.23076923077,0,0.0,0
7,32ae2df2c7,zstd_bulk.go,42,NewBulkProcessor,ZSTD_createCDict,5,139250,27850.0,0,0.0,0
8,50ad5844c4,zstd_bulk.go,55,NewBulkProcessor,ZSTD_createDDict,5,78167,15633.4,0,0.0,0
9,b6f10c40af,zstd_bulk.go,107,NewBulkProcessor,ZSTD_compress_usingCDict,12,47751,3979.25,0,0.0,0
10,c2db3a41ca,zstd_stream.go,300,finalizeWriter,ZSTD_compressStream2_finish,8,37333,4666.625,0,0.0,0
11,2f168891b7,zstd_bulk.go,155,NewBulkProcessor,ZSTD_decompress_usingDDict,11,29333,2666.6363636363635,0,0.0,0
12,e7596ec17b,zstd_bulk.go,150,NewBulkProcessor,ZSTD_createDCtx,11,22250,2022.7272727272727,0,0.0,0
13,c25198149a,zstd_stream.go,122,,,8,20290,2536.25,0,0.0,0
14,7642f5965c,zstd_bulk.go,80,,,12,18168,1514.0,0,0.0,0
15,d64ed87637,zstd_ctx.go,157,finalizeCtx,ZSTD_freeCCtx,4,9750,2437.5,0,0.0,0
16,47a5b5ad9e,zstd.go,77,decompressSizeHint,ZSTD_getFrameContentSize,35,7710,220.28571428571428,0,0.0,0
17,cf22c1d399,zstd_bulk.go,182,finalizeBulkProcessor,ZSTD_freeCDict,5,6209,1241.8,0,0.0,0
18,f6e5f2fa46,zstd_bulk.go,187,finalizeBulkProcessor,ZSTD_freeDDict,5,6001,1200.2,0,0.0,0
19,193a303c34,zstd_stream.go,335,finalizeWriter,ZSTD_freeCStream,8,4332,541.5,0,0.0,0
20,95a5b67edd,zstd_stream.go,514,finalizeReader,ZSTD_freeDStream,13,3789,291.46153846153845,0,0.0,0
21,a108991e46,zstd_stream.go,435,NewReaderDict,ZSTD_createDStream,13,3584,275.6923076923077,0,0.0,0
22,b0dd6689ea,zstd_bulk.go,166,NewBulkProcessor,ZSTD_freeDCtx,11,3584,325.8181818181818,0,0.0,0
23,aa3120c1d6,zstd_bulk.go,120,NewBulkProcessor,ZSTD_freeCCtx,12,3500,291.6666666666667,0,0.0,0
24,66ef532682,zstd_ctx.go,160,finalizeCtx,ZSTD_freeDCtx,4,2666,666.5,0,0.0,0
25,2d74b22f1d,zstd_stream.go,144,NewWriterLevelDict,ZSTD_CCtx_setParameter,8,1416,177.0,0,0.0,0
26,cf69623622,zstd_stream.go,440,NewReaderDict,ZSTD_initDStream,13,959,73.76923076923077,0,0.0,0
27,33032ebc66,errors.go,19,,,2,791,395.5,0,0.0,0
28,4b06c53a01,errors.go,30,cIsError,ZSTD_isError,2,417,208.5,0,0.0,0
29,a1ff806bd6,errors.go,16,<package>,ZSTD_getErrorName,2,293,146.5,0,0.0,0
30,03a0840d77,zstd_stream.go,445,NewReaderDict,ZSTD_DCtx_reset,0,0,0.0,0,0.0,0
31,0eebe47a29,zstd_ctx.go,81,NewCtx,ZSTD_compressCCtx,0,0,0.0,0,0.0,0
32,143d533cc1,zstd_stream.go,126,NewWriterLevelDict,ZSTD_createCStream,0,0,0.0,0,0.0,0
33,19e7b8563f,zstd_stream.go,498,finalizeReader,ZSTD_freeDStream,0,0,0.0,0,0.0,0
34,2754ca2a4e,zstd_ctx.go,55,NewCtx,ZSTD_createCCtx,0,0,0.0,0,0.0,0
35,341ab35b5a,zstd_stream.go,453,NewReaderDict,ZSTD_DCtx_loadDictionary,0,0,0.0,0,0.0,0
36,4f703eb30e,zstd_stream.go,132,NewWriterLevelDict,ZSTD_CCtx_loadDictionary,0,0,0.0,0,0.0,0
37,59a24747b6,zstd_stream.go,290,finalizeWriter,ZSTD_freeCStream,0,0,0.0,0,0.0,0
38,5c404ee783,zstd_stream.go,321,finalizeWriter,ZSTD_freeCStream,0,0,0.0,0,0.0,0
39,780103341b,zstd.go,120,CompressLevel,ZSTD_compress,0,0,0.0,0,0.0,0
40,a70c41d2ab,zstd_stream.go,248,finalizeWriter,ZSTD_compressStream2_flush,0,0,0.0,0,0.0,0
41,ac7e1a4460,zstd_ctx.go,56,NewCtx,ZSTD_createDCtx,0,0,0.0,0,0.0,0
42,ad1223112c,zstd.go,58,cCompressBound,ZSTD_compressBound,0,0,0.0,0,0.0,0
43,da50a33d01,zstd_bulk.go,93,NewBulkProcessor,ZSTD_compress_usingCDict,0,0,0.0,0,0.0,0
44,ee1dacb979,zstd_stream.go,312,finalizeWriter,ZSTD_freeCStream,0,0,0.0,0,0.0,0
